Sigla,Resolução ANEEL,Início Vigência,Fim Vigência,Base Tarifária,Subgrupo,Modalidade,Unidade,Ponta,Fora Ponta,Consumo_medio_mensal,TUSD_ACR_Azul,TE-ACR,V-ICMS,V-PIS/COFINS,V-finalACRAzul,TUSD_ACL_Azul,VMedEner_ACL,V-ICMS_ACL,V-PisCofins_ACL,V-CCEE,VFinalACL(R$),VbreakEvenPoint
Amazonas Energia,"REH Nº 1.649, DE 29 DE OUTUBRO DE 2013",2013-11-01,2014-10-31,Base Econômica,A4,Azul,R$/kW,0.25879,0.15113,205.6,61.0038968,75.42559359999998,29.947936917073164,12.619727862,164.57545837907315,52.86114679999999,0.182,19.81763710243902,9.202129012672176,90.6292128,172.5101257151112,-0.03859273996127455
Amazonas Energia,"REH Nº 1.815, DE 29 DE OUTUBRO DE 2014",2014-11-01,2015-10-31,Base Econômica,A4,Azul,R$/kW,0.29113,0.17302,205.6,69.05963679999999,85.71587359999998,33.97511203902438,14.316734711999997,186.41112035102438,60.06152679999999,0.182,21.398208321951213,9.936052042975206,90.6292128,182.0249999649264,0.021333270360398764
Amazonas Energia,"REH Nº 1.980, DE 27 DE OUTUBRO DE 2015",2015-11-01,2016-10-31,Base Econômica,A4,Azul,R$/kW,0.41722000000000004,0.26054,205.6,100.7808464,126.4620928,49.88259640975609,21.019971876,272.4642610857561,88.5651464,0.182,27.655100429268288,12.84137966060606,90.6292128,219.69083928987436,0.25668006710059216
Amazonas Energia,"REH Nº 2.182, DE 29 DE NOVEMBRO DE 2016",2016-11-01,2017-03-31,Base Econômica,A4,Azul,R$/kW,0.37433,0.24017,205.6,91.3436408,115.3078816,45.36252930731707,19.115265822,247.16507672931706,80.7300308,0.182,25.935197004878045,12.042759062258954,90.6292128,209.33719966713699,0.18398772890165407
Amazonas Energia,"REH Nº 2.214, DE 28 DE MARÇO DE 2017",2017-04-01,2017-10-31,Base Econômica,A4,Azul,R$/kW,0.37433,0.24017,205.6,91.3436408,115.3078816,45.36252930731707,19.115265822,247.16507672931706,80.7300308,0.182,25.935197004878045,12.042759062258954,90.6292128,209.33719966713699,0.18398772890165407
Amazonas Energia,"REH Nº 2.337, DE 31 DE OUTUBRO DE 2017",2017-11-01,2018-10-31,Base Econômica,A4,Azul,R$/kW,0.3767,0.24103,205.6,91.8268936,115.8477872,45.58712505365853,19.209907974,248.45082022765854,81.11041359999999,0.182,26.018695668292676,12.081530862809915,90.6292128,209.8398529311026,0.18779653354356002
Amazonas Energia,"REH Nº 2.478, DE 30 DE OUTUBRO DE 2018",2018-11-01,2019-10-31,Base Econômica,A4,Azul,R$/kW,0.43229,0.27353,205.6,104.93618479999999,132.0601696,52.02358999024389,21.922162781999997,283.81812237224386,92.47253479999999,0.182,28.512819834146338,13.23965340936639,90.6292128,224.85422084351273,0.28678940432262223
Amazonas Energia,"REH Nº 2.633, DE 29 DE OUTUBRO DE 2019",2019-11-01,2020-10-31,Base Econômica,A4,Azul,R$/kW,0.41833,0.25183,205.6,99.69566799999998,124.09193599999999,49.12410819512194,20.70035337,269.21579756512193,86.93969799999999,0.182,27.298294682926823,12.675700347107437,90.6292128,217.54290583003427,0.2513272944313602
Amazonas Energia,"REH Nº 2.795, DE 27 DE OUTUBRO DE 2020",2020-11-01,2021-10-31,Base Econômica,A4,Azul,R$/kW,0.4035,0.24406999999999998,205.6,96.3294344,120.0288688,47.493286068292676,20.013143046,260.16529791429264,84.08871439999999,0.182,26.67246901463414,12.38510422258953,90.6292128,213.77550043722368,0.22563131068613304
Amazonas Energia,"REH Nº 2.967, DE 26 DE OUTUBRO DE 2021",2021-11-01,2022-10-31,Base Econômica,A4,Azul,R$/kW,0.44007999999999997,0.26869,205.6,105.42119919999999,131.62799839999997,52.03518971707315,21.927050777999995,284.80463889507314,92.2054192,0.182,28.45418470243902,13.212426750413222,90.6292128,224.50124345285224,0.29330445253998494
