Sigla,Resolução ANEEL,Início Vigência,Fim Vigência,Base Tarifária,Subgrupo,Modalidade,Unidade,Ponta,Fora Ponta,Consumo_medio_mensal,TUSD_ACR_Verde,TE-ACR,V-ICMS,V-PIS/COFINS,V-finalACRVerde,TUSD_ACL_Verde,VMedEner_ACL,V-ICMS_ACL,V-PisCofins_ACL,V-CCEE,VFinalACL(R$),VbreakEvenPoint
Amazonas Energia,"REH Nº 1.649, DE 29 DE OUTUBRO DE 2013",2013-11-01,2014-10-31,Base Econômica,A4,Verde,R$/kW,0.25879,0.15113,205.6,42.246696799999995,75.42559359999998,25.830502770731698,10.884686861999999,121.20858323273168,31.458287828676795,0.182,15.119448547758319,7.020570384741161,90.6292128,144.22751956117628,-0.11195980704496399
Amazonas Energia,"REH Nº 1.815, DE 29 DE OUTUBRO DE 2014",2014-11-01,2015-10-31,Base Econômica,A4,Verde,R$/kW,0.29113,0.17302,205.6,48.048536799999994,85.71587359999998,29.362919356097553,12.373207961999997,137.83320091809753,36.1529187430216,0.182,16.14997728505352,7.499086483448483,90.6292128,150.4311953115236,-0.061274291796819376
Amazonas Energia,"REH Nº 1.980, DE 27 DE OUTUBRO DE 2015",2015-11-01,2016-10-31,Base Econômica,A4,Verde,R$/kW,0.41722000000000004,0.26054,205.6,71.04724639999999,126.4620928,43.355708604878046,18.269613876,203.71981528087804,55.19489788315519,0.182,20.329923925570647,9.440004467429041,90.6292128,175.5940390761549,0.13679852239651333
Amazonas Energia,"REH Nº 2.182, DE 29 DE NOVEMBRO DE 2016",2016-11-01,2017-03-31,Base Econômica,A4,Verde,R$/kW,0.37433,0.24017,205.6,64.8590408,115.3078816,39.54883662439024,16.665440322,185.93235854639025,50.322265301753596,0.182,19.260321651604446,8.943344948112625,90.6292128,169.15514470147068,0.08160123465427807
Amazonas Energia,"REH Nº 2.214, DE 28 DE MARÇO DE 2017",2017-04-01,2017-10-31,Base Econômica,A4,Verde,R$/kW,0.37433,0.24017,205.6,64.8590408,115.3078816,39.54883662439024,16.665440322,185.93235854639025,50.322265301753596,0.182,19.260321651604446,8.943344948112625,90.6292128,169.15514470147068,0.08160123465427807
Amazonas Energia,"REH Nº 2.337, DE 31 DE OUTUBRO DE 2017",2017-11-01,2018-10-31,Base Econômica,A4,Verde,R$/kW,0.3767,0.24103,205.6,65.1547936,115.8477872,39.73227383414634,16.742738724,186.78459975814633,50.541703222167996,0.182,19.308490951207606,8.96571189867828,90.6292128,169.44511887205388,0.084335996527687
Amazonas Energia,"REH Nº 2.478, DE 30 DE OUTUBRO DE 2018",2018-11-01,2019-10-31,Base Econômica,A4,Verde,R$/kW,0.43229,0.27353,205.6,74.2359848,132.0601696,45.28452169756096,19.082394282,212.83888557956095,57.9468661665248,0.182,20.9340145243591,9.720508121656799,90.6292128,179.2306016125407,0.16346441618200508
Amazonas Energia,"REH Nº 2.633, DE 29 DE OUTUBRO DE 2019",2019-11-01,2020-10-31,Base Econômica,A4,Verde,R$/kW,0.41833,0.25183,205.6,69.60086799999999,124.09193599999999,42.51793258536584,17.916584369999995,199.63625295536582,53.70871237084,0.182,20.003688081403897,9.288519993721984,90.6292128,173.63013324596588,0.12648890909241217
Amazonas Energia,"REH Nº 2.795, DE 27 DE OUTUBRO DE 2020",2020-11-01,2021-10-31,Base Econômica,A4,Verde,R$/kW,0.4035,0.24406999999999998,205.6,67.3365344,120.0288688,41.12899094634146,17.331299796,193.13335954234145,51.87742163756,0.182,19.601697432635117,9.101859505756805,90.6292128,171.21019137595192,0.10663019536181678
Amazonas Energia,"REH Nº 2.967, DE 26 DE OUTUBRO DE 2021",2021-11-01,2022-10-31,Base Econômica,A4,Verde,R$/kW,0.44007999999999997,0.26869,205.6,73.87469919999998,131.62799839999997,45.11034825365852,19.008999527999993,211.86874618165848,57.36613467533439,0.182,20.806536879951448,9.66131510464841,90.6292128,178.46319945993426,0.16247834008620732
