Sigla,Resolução ANEEL,Início Vigência,Fim Vigência,Base Tarifária,Subgrupo,Modalidade,Unidade,Ponta,Fora Ponta,Consumo_medio_mensal,TUSD_ACR_Verde,TE-ACR,V-ICMS,V-PIS/COFINS,V-finalACRVerde,TUSD_ACL_Verde,VMedEner_ACL,V-ICMS_ACL,V-PisCofins_ACL,V-CCEE,VFinalACL(R$),VbreakEvenPoint
Amazonas Energia,"REH Nº 1.649, DE 29 DE OUTUBRO DE 2013",2013-11-01,2014-10-31,Base Econômica,A4,Verde,R$/kW,0.25879,0.15113,205.6,40.7353968,75.42559359999998,25.498753990243895,10.744891611999998,117.7144392022439,31.458287828676795,0.182,15.119448547758319,7.020570384741161,90.6292128,144.22751956117628,-0.12895467100648048
Amazonas Energia,"REH Nº 1.815, DE 29 DE OUTUBRO DE 2014",2014-11-01,2015-10-31,Base Econômica,A4,Verde,R$/kW,0.29113,0.17302,205.6,46.3183368,85.71587359999998,28.983119356097554,12.213164461999998,133.83295741809755,36.1529187430216,0.182,16.14997728505352,7.499086483448483,90.6292128,150.4311953115236,-0.08073072905362863
Amazonas Energia,"REH Nº 1.980, DE 27 DE OUTUBRO DE 2015",2015-11-01,2016-10-31,Base Econômica,A4,Verde,R$/kW,0.41722000000000004,0.26054,205.6,68.44184639999999,126.4620928,42.78379153170731,18.028614375999997,197.69609870770728,55.19489788315519,0.182,20.329923925570647,9.440004467429041,90.6292128,175.5940390761549,0.10750029003673336
Amazonas Energia,"REH Nº 2.182, DE 29 DE NOVEMBRO DE 2016",2016-11-01,2017-03-31,Base Econômica,A4,Verde,R$/kW,0.37433,0.24017,205.6,62.4573408,115.3078816,39.02163418536585,16.443283072,180.37959885736586,50.322265301753596,0.182,19.260321651604446,8.943344948112625,90.6292128,169.15514470147068,0.054593648618167255
Amazonas Energia,"REH Nº 2.214, DE 28 DE MARÇO DE 2017",2017-04-01,2017-10-31,Base Econômica,A4,Verde,R$/kW,0.37433,0.24017,205.6,62.4573408,115.3078816,39.02163418536585,16.443283072,180.37959885736586,50.322265301753596,0.182,19.260321651604446,8.943344948112625,90.6292128,169.15514470147068,0.054593648618167255
Amazonas Energia,"REH Nº 2.337, DE 31 DE OUTUBRO DE 2017",2017-11-01,2018-10-31,Base Econômica,A4,Verde,R$/kW,0.3767,0.24103,205.6,62.7444936,115.8477872,39.203183590243896,16.519785974,181.2119567642439,50.541703222167996,0.182,19.308490951207606,8.96571189867828,90.6292128,169.44511887205388,0.0572317018102627
Amazonas Energia,"REH Nº 2.478, DE 30 DE OUTUBRO DE 2018",2018-11-01,2019-10-31,Base Econômica,A4,Verde,R$/kW,0.43229,0.27353,205.6,71.50068479999999,132.0601696,44.68408999024389,18.829379032,206.51483862224384,57.9468661665248,0.182,20.9340145243591,9.720508121656799,90.6292128,179.2306016125407,0.13270543292657166
Amazonas Energia,"REH Nº 2.633, DE 29 DE OUTUBRO DE 2019",2019-11-01,2020-10-31,Base Econômica,A4,Verde,R$/kW,0.41833,0.25183,205.6,67.082568,124.09193599999999,41.965135024390236,17.68364162,193.81391264439023,53.70871237084,0.182,20.003688081403897,9.288519993721984,90.6292128,173.63013324596588,0.09817013326081882
Amazonas Energia,"REH Nº 2.795, DE 27 DE OUTUBRO DE 2020",2020-11-01,2021-10-31,Base Econômica,A4,Verde,R$/kW,0.4035,0.24406999999999998,205.6,64.8958344,120.0288688,40.59322753170731,17.105535046,187.4904313777073,51.87742163756,0.182,19.601697432635117,9.101859505756805,90.6292128,171.21019137595192,0.07918404670114482
Amazonas Energia,"REH Nº 2.967, DE 26 DE OUTUBRO DE 2021",2021-11-01,2022-10-31,Base Econômica,A4,Verde,R$/kW,0.44007999999999997,0.26869,205.6,71.18779919999999,131.62799839999997,44.52054093658535,18.760461277999994,205.65660061458533,57.36613467533439,0.182,20.806536879951448,9.66131510464841,90.6292128,178.46319945993426,0.13226362429304997
